Data Series,2023 ,2022 ,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2006 ,2005 ,2004 ,2003 ,2002 ,2001 ,2000 ,1999 ,1998 ,1997 ,1996 ,1995 ,1994 ,1993 ,1992 ,1991 ,1990 ,1989 ,1988 ,1987 ,1986 ,1985 ,1984 ,1983 ,1982 ,1981 ,1980 ,1979 ,1978 ,1977 ,1976 ,1975 ,1974 ,1973 ,1972 ,1971 ,1970 ,1969 ,1968 ,1967 ,1966 ,1965 ,1964 ,1963 ,1962 ,1961 ,1960 ,1959 ,1958 ,1957 
  50 - 54 Years,155607,150249,146054,150685,152561,155057,156428,157396,156626,156769,155199,153815,152706,150323,147779,143476,138414,132451,125989,120927,115823,114648,111419,102891,90966,82406,72903,63951,63936,66821,66814,66074,63081,58570,56019,52830,51765,51799,50649,48537,47679,46876,45607,43638,42200,40000,38000,36700,36000,35700,35500,34600,33900,32819,33700,33300,32500,32300,31600,30600,30000,29300,28300,26600,25600,24200,22541
  55 - 59 Years,151687,150789,149396,152870,153282,151862,150358,149276,147203,144076,140256,135438,129961,123874,119499,114478,110647,107586,99227,87689,79446,71854,63091,63127,66042,66084,65445,62504,57972,55309,51944,50648,50866,50192,47658,46484,45774,44707,43019,40640,38180,36155,34512,33641,34100,33500,32800,32700,31900,31100,31200,30800,31100,30662,29400,28100,27500,26100,25300,24900,23300,22500,20700,20100,18900,18000,16906
  60 - 64 Years,147705,144570,141723,143155,140504,136760,132062,126723,120833,116285,111913,108215,105361,97199,85987,77905,68819,60261,60288,63113,62876,63669,60816,56480,53871,50617,49357,49426,48721,46282,45023,44282,43353,41926,39564,37133,35137,33425,32354,32001,31289,30482,30020,29287,29200,28800,28700,28700,28400,28200,27800,26400,25300,23375,22800,21500,21100,19300,18300,17900,16700,16300,15400,14200,13600,12900,12261
  65 - 69 Years,132149,126115,119796,116787,112641,108343,104618,101671,93728,82913,75292,66507,58281,58190,60908,60625,59984,57117,52818,50232,46991,46823,46871,46152,43907,42562,41748,40853,39491,37394,35106,33212,31561,30505,29994,29392,28509,27937,27284,26502,25970,25641,25298,25045,25200,24600,23500,22300,21000,20400,19100,18600,17600,16658,15500,15200,14200,13300,12900,11800,11500,11200,10500,10100,9800,9400,8637
  70 - 74 Years,103041,98546,94989,89189,78893,71517,63031,55105,54852,57377,57083,56524,53938,49731,47071,43799,42447,42447,41638,39336,37947,38021,37137,35826,33901,31669,29654,27965,26749,26345,25865,25208,24855,24534,23739,23228,22818,22359,22075,21572,20850,19825,18678,17546,na,na,na,na,na,na,na,na,na,10374,na,na,na,na,na,na,na,na,na,na,na,na,5349
  75 - 79 Years,65837,57589,49982,50217,52399,52039,51429,48979,45085,42541,39455,37960,37786,36964,34745,33412,32362,31234,29789,27605,24751,25337,23526,22040,21390,20716,20145,19783,19554,19110,18877,18815,18597,18437,na,na,na,na,na,na,na,na,na,10570,na,na,na,na,na,na,na,na,na,6231,na,na,na,na,na,na,na,na,na,na,na,na,2810
  80 - 84 Years,44514,43918,41669,38627,36216,33324,31941,31672,30853,28903,27627,26619,25587,24307,22625,20682,19207,17842,16833,16302,15765,15284,14588,14004,13635,13481,13318,13189,13080,12895,12575,11956,11225,10498,na,na,na,na,na,na,na,na,na,5070,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,1278
  85 - 89 Years,24836,23718,23665,23064,21451,20243,19492,18699,17766,16501,15113,13984,12867,12035,11487,10993,10385,9907,9516,8990,8649,8480,8055,7753,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  65 Years & Over,386841,365847,345482,332447,315214,297995,282020,266716,252179,237680,223591,210075,196465,188811,183953,176229,170677,164485,156221,147664,138847,138425,134187,129432,123948,119220,115138,111420,108010,104238,100405,96569,93114,90443,87228,84375,80900,77711,74925,71939,69267,66560,63923,61505,60400,58200,55300,52900,50300,48600,45800,43600,40600,38080,34400,33000,31800,30200,28600,27300,25900,25400,23400,22700,21400,20500,18715
  70 Years & Over,254692,239732,225686,215660,202573,189652,177402,165045,158451,154767,148299,143568,138184,130621,123045,115604,110693,107368,103403,97432,91856,91602,87316,83280,80041,76658,73390,70567,68519,66844,65299,63357,61553,59938,57234,54983,52391,49774,47641,45437,43297,40919,38625,36460,35200,33600,31800,30600,29300,28200,26700,25000,23000,21422,18900,17800,17600,16900,15700,15500,14400,14200,12900,12600,11600,11100,10078
  75 Years & Over,151651,141186,130697,126471,123680,118135,114371,109940,103599,97390,91216,87044,84246,80890,75974,71805,68246,64921,61765,58096,53909,53581,50179,47454,46140,44989,43736,42602,41770,40499,39434,38149,36698,35404,33495,31755,29573,27415,25566,23865,22447,21094,19947,18914,na,na,na,na,na,na,na,na,na,11048,na,na,na,na,na,na,na,na,na,na,na,na,4729
  80 Years & Over,85814,83597,80715,76254,71281,66096,62942,60961,58514,54849,51761,49084,46460,43926,41229,38393,35884,33687,31976,30491,29158,28244,26653,25414,24750,24273,23591,22819,22216,21389,20557,19334,18101,16967,na,na,na,na,na,na,na,na,na,8344,na,na,na,na,na,na,na,na,na,4817,na,na,na,na,na,na,na,na,na,na,na,na,1919
  85 Years & Over,41300,39679,39046,37627,35065,32772,31001,29289,27661,25946,24134,22465,20873,19619,18604,17711,16677,15845,15143,14189,13393,12960,12065,11410,11115,10792,10273,9630,9136,8494,7982,7378,6876,6469,na,na,na,na,na,na,na,na,na,3274,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,641
  90 Years & Over,16464,15961,15381,14563,13614,12529,11509,10590,9895,9445,9021,8481,8006,7584,7117,6718,6292,5938,5627,5199,4744,4480,4010,3657,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Total Malays,561331,554110,544452,545498,540783,535824,530710,525888,520923,516657,512837,509519,506637,503868,500051,495110,490552,485978,480722,475689,469791,468360,461788,455207,449482,443349,436659,430074,423257,415990,408084,400291,392396,384338,375404,369010,363035,357878,352603,347423,342701,337822,333230,328718,347600,344100,340700,337400,334100,330200,326100,321200,316300,298008,306000,300500,295800,287700,277000,267000,257200,250300,242500,232200,220700,209000,197059
  0 - 4 Years,40225,40301,39252,38668,37374,36169,34561,33088,31691,30899,30587,30868,31396,32203,32753,33158,33841,35058,36413,37979,39517,41171,42192,43047,44248,45667,46677,47638,48538,49201,48928,48318,46828,45311,43382,41573,40238,39117,37689,35568,33767,31664,30030,28936,30500,30800,32000,33300,34800,35100,36800,38400,41300,43114,49000,52900,55300,56000,55200,54400,52800,51100,49900,48200,46600,45100,43161
  5 - 9 Years,36699,34878,33190,32070,31339,30930,31212,31706,32359,32837,33379,34069,35310,36878,38566,40081,41669,42723,43548,44448,45742,46999,47920,48797,49419,49031,48223,46632,44980,43218,41382,40060,38962,37519,35325,33341,31108,29449,28282,28510,29129,30713,32373,33753,34600,35700,36900,39300,42600,46500,49800,51700,52900,51099,52700,50800,49100,47800,46000,44700,43900,43400,41400,38900,35600,32100,29135
  10 - 14 Years,31170,31288,31562,32472,32966,33438,34079,35267,36764,38395,39902,41516,42607,43589,44568,45907,46880,47871,48765,49402,49003,48174,46426,44598,42784,40938,39677,38642,37259,35278,33335,31027,29206,27717,27554,28120,29710,31328,32778,33167,34207,35224,37204,39774,44300,47700,50200,51800,52400,52500,51300,50500,48600,45316,43900,43200,42400,40500,37900,35200,32200,30300,28600,25600,22300,19600,16614
  15 - 19 Years,33803,34309,35345,37018,38703,40170,41735,42750,43584,44424,45767,46721,47713,48627,49273,48838,48047,46276,44534,42569,40662,39385,38288,36915,34968,33117,30910,29161,27696,27489,27868,29237,30585,31878,32209,33330,34388,36487,39103,42258,45139,47016,48028,48258,52400,51600,50700,48700,47000,44500,42700,40500,38200,34451,34700,31500,29700,28100,24900,22000,19800,17000,14700,14400,15100,16400,17575
  20 - 24 Years,40521,41917,42829,43813,44675,45986,46888,47798,48590,49165,48678,47824,46242,44509,42640,40694,39328,38296,36933,34888,32977,31126,29336,27913,27805,28268,29583,30886,32143,32363,33266,34126,36091,38608,41453,44265,46103,47056,47304,47435,46447,45427,43732,41773,44400,42600,40300,37900,35600,33600,31300,30000,29200,24550,21400,19400,16700,14200,14100,14900,16300,18200,21000,22100,22400,21400,20473
  25 - 29 Years,46105,46923,47532,48668,49243,48796,47947,46239,44466,42597,40804,39636,38729,37653,35946,34104,32071,30355,28975,28720,29001,30323,31443,32451,32643,33463,34263,36132,38589,41515,44139,45798,46559,46645,46309,45355,44394,42844,41105,39202,37641,35625,33597,31523,33000,30900,29400,28800,26400,23600,21800,19300,16800,14922,14500,15900,17700,20400,21500,22000,21300,21200,20600,19500,18800,18400,17697
  30 - 34 Years,49207,48130,46017,44614,42855,41104,39927,38943,37710,35985,34420,32541,31043,29807,29626,29848,30929,32064,32927,32956,33539,34427,36012,38241,41098,43703,45330,46170,46299,46196,45096,43997,42289,40477,38226,36692,34716,32792,30716,28921,26962,25670,25120,23022,22900,21100,18900,16100,16000,16900,17500,17900,18600,18220,21500,20900,20700,20100,19100,18300,18500,18100,18800,17700,16900,15200,14215
  35 - 39 Years,41244,39805,38461,37719,36079,34512,32504,30939,29582,29430,29830,31040,32186,33199,33155,33696,34377,35982,38159,40738,43208,45023,45718,45771,45633,44562,43496,41832,40094,38142,36482,34340,32295,29981,27921,25903,24618,24061,22023,19502,17952,15892,13427,13512,16100,16500,16900,17700,18100,18400,17600,17500,16800,15533,17900,18000,17800,18100,17200,16400,15100,14600,13500,13500,12600,12300,11652
  40 - 44 Years,34407,32115,30146,29282,29199,29543,30618,31701,32543,32636,33323,34049,35737,37969,40553,42898,44287,44989,44942,44973,43817,43018,41280,39481,37650,36071,34019,32028,29768,27835,25602,24128,23315,21110,18497,17054,15073,12733,12848,13740,14033,14540,15078,15522,17100,16600,16500,16000,15300,14800,15300,15500,15900,15171,15800,14800,14100,13100,12800,12100,12100,11800,11600,10400,9600,8500,7828
  45 - 49 Years,29198,29986,30626,32010,32131,32821,33451,35056,37208,39787,42210,43652,44347,44417,44231,43118,42028,40446,38750,36969,35344,33520,31530,29337,27492,25349,23878,23108,20949,18346,16720,14622,12200,12137,12884,13151,13624,14025,14355,14787,14614,14640,14450,13716,14000,14200,14400,14600,14500,14000,13400,13100,12500,11862,11600,11800,11200,10800,10000,9400,8300,7900,7000,7100,6500,6500,6228
  50 - 54 Years,32102,32544,33774,36429,38961,41235,42560,43212,43192,43038,42024,41001,39564,37936,36193,34623,32610,30681,28468,26614,24411,23335,22542,20467,17973,16393,14350,12003,11966,12544,12635,12912,13024,13018,13610,13699,13789,13779,13184,12510,12530,12755,13026,12994,13100,12600,12300,11700,11300,10900,10600,10000,9400,8304,8900,7800,7400,6600,6700,6100,6100,6100,6000,5700,5300,4800,4491
  55 - 59 Years,40018,40996,41118,41812,41690,40637,39667,38118,36525,34819,33371,31457,29593,27535,25737,23691,22363,21596,19560,17088,15505,13746,11490,11497,12024,12115,12379,12483,12449,12875,12879,12877,12947,12527,11751,11539,11728,12046,12089,11735,11261,10958,10480,10087,10000,9700,9100,8700,7800,7100,6600,6100,6000,6075,5700,5600,5500,5200,4900,4800,4400,4200,3500,3300,3600,3400,3168
  60 - 64 Years,38757,37534,35634,34823,33141,31742,29935,28147,26108,24415,22492,21207,20527,18608,16209,14715,12757,10645,10557,11067,11029,11526,11586,11464,11873,11858,11837,11909,11497,10752,10441,10575,10890,10934,10641,10115,9794,9438,9049,8740,8456,8007,7555,6957,6300,5700,5300,5200,5200,5400,5200,5000,4800,4256,4000,3700,3700,2900,2900,3000,2800,2900,2900,2800,2500,2300,2019
  65 - 69 Years,29538,27670,25759,24366,22771,20922,19630,18867,17131,14944,13546,11723,9706,9662,10080,10050,10271,10227,10068,10366,10321,10514,10588,10207,9451,9108,9193,9418,9481,9213,8780,8445,8205,7818,7538,7285,6856,6387,5903,5277,4742,4345,4202,4193,4400,4300,4100,3900,3500,3200,2900,2700,2500,2541,2300,2100,2100,2200,2100,1900,1800,1600,1200,1200,1100,1200,1144
  70 - 74 Years,18773,17490,16639,15274,13264,12011,10385,8571,8467,8841,8729,8896,8903,8714,8889,8864,8808,8867,8492,7775,7399,7607,7726,7757,7554,7177,6779,6525,6189,5957,5719,5392,4993,4683,4224,3787,3485,3306,3289,3357,3304,3127,2820,2632,na,na,na,na,na,na,na,na,na,1438,na,na,na,na,na,na,na,na,na,na,na,na,792
  75 - 79 Years,9985,8607,6995,7015,7325,7193,7333,7275,7118,7200,7097,7042,7051,6752,6127,5744,5591,5570,5465,5216,4632,5055,4773,4470,4195,3973,3724,3429,3259,2934,2651,2472,2323,2349,na,na,na,na,na,na,na,na,na,1272,na,na,na,na,na,na,na,na,na,594,na,na,na,na,na,na,na,na,na,na,na,na,348
  80 - 84 Years,5249,5349,5270,5247,5254,5131,5012,5087,4842,4386,4073,3865,3816,3717,3558,3230,3039,2894,2796,2652,2512,2363,2071,1918,1738,1588,1436,1329,1376,1436,1490,1373,1177,1116,na,na,na,na,na,na,na,na,na,515,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,270
  85 - 89 Years,3021,3004,3052,2961,2645,2398,2271,2226,2163,2060,1841,1720,1580,1537,1431,1370,1258,1112,1041,923,837,711,603,631,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  65 Years & Over,67875,63384,58966,56100,52427,48741,45626,42924,40601,38230,36050,33938,31643,30938,30601,29739,29365,28996,28191,27278,26036,26587,26025,25228,23870,22815,22037,21451,21034,20235,19313,18273,17206,16476,15642,14873,13755,12722,12082,11349,10564,9691,9130,8891,8900,8400,7800,7600,7100,6900,6200,5700,5300,5135,4400,4200,4500,3900,3800,3700,3600,3500,3000,3000,2900,3000,2803
  70 Years & Over,38337,35714,33207,31734,29656,27819,25996,24057,23470,23286,22504,22215,21937,21276,20521,19689,19094,18769,18123,16912,15715,16073,15437,15021,14419,13707,12844,12033,11553,11022,10533,9828,9001,8658,8104,7588,6899,6335,6179,6072,5822,5346,4928,4698,4500,4100,3700,3700,3600,3700,3300,3000,2800,2594,2100,2100,2400,1700,1700,1800,1800,1900,1800,1800,1800,1800,1659
  75 Years & Over,19564,18224,16568,16460,16392,15808,15611,15486,15003,14445,13775,13319,13034,12562,11632,10825,10286,9902,9631,9137,8316,8466,7711,7264,6865,6530,6065,5508,5364,5065,4814,4436,4008,3975,3880,3801,3414,3029,2890,2715,2518,2219,2108,2066,na,na,na,na,na,na,na,na,na,1156,na,na,na,na,na,na,na,na,na,na,na,na,867
  80 Years & Over,9579,9617,9573,9445,9067,8615,8278,8211,7885,7245,6678,6277,5983,5810,5505,5081,4695,4332,4166,3921,3684,3411,2938,2794,2670,2557,2341,2079,2105,2131,2163,1964,1685,1626,na,na,na,na,na,na,na,na,na,794,na,na,na,na,na,na,na,na,na,562,na,na,na,na,na,na,na,na,na,na,na,na,519
  85 Years & Over,4330,4268,4303,4198,3813,3484,3266,3124,3043,2859,2605,2412,2167,2093,1947,1851,1656,1438,1370,1269,1172,1048,867,876,932,969,905,750,729,695,673,591,508,510,na,na,na,na,na,na,na,na,na,279,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,249
  90 Years & Over,1309,1264,1251,1237,1168,1086,995,898,880,799,764,692,587,556,516,481,398,326,329,346,335,337,264,245,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Total Male Malays,279017,275876,271743,271332,268933,266486,263912,261564,259108,257036,255176,253578,252227,250885,249115,247017,244969,242759,240406,238236,235597,235076,231970,228850,226306,223404,220418,217366,214148,210859,207140,203455,199840,195950,191485,188129,184979,182361,179551,176877,174415,171895,169569,167273,179600,177600,175600,173700,171800,169500,167100,164200,161300,151795,155600,152600,150400,146500,141400,136700,132000,129300,125700,121000,115200,109100,103249
  0 - 4 Years,20568,20610,20091,19848,19182,18624,17790,16992,16276,15869,15676,15748,16114,16496,16819,16985,17417,18043,18856,19602,20593,21372,21867,22252,22910,23557,24151,24517,25041,25331,25142,24761,24013,23172,22211,21303,20636,20168,19421,18425,17484,16391,15571,15029,15800,16000,16600,17300,17900,18000,18800,19500,20800,21742,24300,26300,27500,28000,27700,27400,26700,25900,25300,24400,23600,22700,21743
  5 - 9 Years,18870,17934,17027,16472,16108,15878,15933,16267,16575,16864,17088,17513,18163,19060,19867,20866,21636,22155,22490,23027,23592,24318,24655,25183,25441,25184,24737,23935,23010,22106,21168,20553,20075,19356,18329,17284,16125,15301,14692,14802,15149,15990,16776,17398,17800,18200,18800,19800,21500,23400,25200,26200,26900,25928,26500,25500,24700,23900,22900,22200,21600,21600,20500,19300,17700,15900,14451
  10 - 14 Years,16006,16013,16251,16655,16929,17117,17508,18121,19016,19789,20785,21549,22084,22522,23089,23694,24275,24646,25179,25407,25141,24714,23841,22826,21900,20965,20339,19908,19204,18313,17283,16094,15190,14393,14322,14642,15493,16266,16950,17093,17493,17967,18827,20032,22300,24200,25600,26700,27100,27200,26500,25900,24700,22926,21800,21200,20900,19900,18500,17200,15800,14900,14200,12800,11200,9900,8393
  15 - 19 Years,17324,17629,18200,19135,19957,20922,21672,22160,22504,23006,23602,24174,24543,25070,25315,25053,24632,23733,22764,21777,20800,20163,19700,18992,18121,17135,16004,15146,14379,14267,14498,15233,15875,16510,16633,17122,17651,18619,19862,21381,22927,23803,24474,24638,27700,27200,26700,25400,24400,22900,21800,20600,19300,17166,17000,15400,14400,13800,12300,10900,9900,8500,7300,7100,7200,7800,8528
  20 - 24 Years,21050,21756,22213,22587,23088,23682,24219,24538,25006,25206,24908,24461,23646,22657,21705,20711,19993,19546,18793,17795,16732,15870,14990,14266,14196,14483,15198,15803,16380,16433,16848,17361,18365,19686,21121,22617,23458,24027,24188,24328,23750,23212,22275,21256,23300,22200,20800,19400,18100,17000,15600,14900,14500,12127,10600,9600,8300,7000,6800,7000,7700,8800,10200,11000,11300,10900,10556
  25 - 29 Years,23644,24162,24371,24997,25200,24921,24437,23559,22571,21596,20621,19973,19574,18895,18020,16997,15855,14952,14249,14125,14365,15149,15702,16214,16249,16592,17054,17991,19252,20789,22339,23195,23757,23932,23876,23315,22781,21904,20947,19818,18963,17848,16720,15633,16900,15700,14800,14500,13300,11800,10900,9500,8100,7075,6800,7500,8400,9800,10500,10900,10800,10900,10700,10300,10000,9900,9552
  30 - 34 Years,25002,24464,23457,22569,21636,20661,19997,19575,18850,17966,17004,15921,15047,14339,14239,14462,15115,15672,16151,16147,16403,16900,17675,18802,20281,21796,22639,23255,23449,23575,23071,22577,21742,20859,19572,18727,17581,16435,15291,14317,13254,12583,12395,11400,11500,10600,9400,7800,7700,8000,8200,8400,8800,8578,10700,10500,10500,10300,9900,9700,9900,9800,10300,9800,9600,8700,8226
  35 - 39 Years,20704,19919,19338,18808,17940,16955,15830,14936,14181,14083,14338,15044,15622,16147,16092,16363,16726,17526,18630,19981,21406,22269,22808,22923,23029,22544,22058,21245,20408,19364,18547,17439,16290,15073,13934,12788,12079,11865,10881,9614,8817,7756,6367,6328,7600,7700,8000,8500,8600,8800,8400,8300,8000,7581,9500,9600,9500,9800,9500,9200,8600,8400,7900,8000,7500,7300,6917
  40 - 44 Years,16842,15616,14599,13994,13932,14169,14813,15354,15801,15803,16122,16509,17353,18495,19814,21154,21840,22329,22402,22640,22094,21669,20762,19858,18893,18108,17068,15972,14820,13811,12620,11847,11543,10467,9137,8393,7374,6053,6028,6415,6504,6800,7195,7407,8300,8000,8000,7700,7400,7400,7900,8100,8600,8539,8900,8400,8000,7600,7500,7100,7100,7000,6800,6100,5600,4900,4531
  45 - 49 Years,13978,14524,14873,15502,15500,15807,16143,16950,18047,19363,20747,21457,21931,22088,22127,21624,21124,20316,19452,18513,17668,16676,15574,14459,13510,12370,11610,11337,10309,9048,8246,7167,5830,5710,6052,6146,6431,6796,6977,7164,7052,7012,6862,6504,6900,7200,7400,7800,8000,8000,7700,7600,7200,6908,6800,6900,6600,6300,5800,5500,4800,4500,4000,4100,3700,3600,3449
  50 - 54 Years,15409,15718,16389,17630,18921,20212,20859,21342,21406,21462,21006,20539,19790,18965,18024,17225,16177,15099,13982,13016,11864,11278,10973,10000,8800,8022,6998,5699,5588,5879,5892,6094,6362,6426,6643,6637,6606,6487,6168,5956,6171,6406,6750,6991,7300,7200,7100,6800,6600,6300,6200,5900,5500,4778,5100,4400,4200,3600,3700,3400,3300,3300,3300,3200,2900,2700,2620
  55 - 59 Years,19526,20033,20358,20654,20697,20185,19777,18982,18189,17271,16523,15489,14444,13397,12467,11385,10730,10435,9497,8304,7523,6620,5402,5332,5564,5583,5792,6039,6084,6255,6202,6136,6016,5784,5492,5579,5782,6136,6408,6408,6292,6238,6019,5844,5800,5700,5300,5000,4500,4100,3700,3400,3400,3366,3100,3100,3000,2800,2700,2600,2400,2400,2100,2000,2200,2100,1866
  60 - 64 Years,19101,18630,17747,17180,16279,15577,14604,13619,12584,11686,10661,10038,9813,8931,7778,7041,6069,4934,4813,5054,5026,5311,5525,5503,5675,5641,5567,5451,5225,4944,4966,5122,5427,5657,5662,5517,5453,5324,5154,5001,4862,4638,4365,3995,3600,3200,2900,2900,2900,3000,2800,2800,2600,2274,2200,2100,2100,1800,1700,1800,1700,1700,1600,1500,1300,1200,1088
  65 - 69 Years,14277,13359,12359,11546,10730,9762,9132,8838,8046,7044,6380,5477,4418,4337,4539,4503,4656,4789,4744,4869,4813,4829,4737,4572,4260,4251,4372,4610,4805,4806,4683,4603,4532,4347,4242,4100,3884,3602,3309,2929,2597,2360,2292,2291,2400,2300,2200,2100,1900,1700,1600,1500,1400,1521,1400,1200,1200,1200,1100,1000,900,800,600,600,600,700,586
  70 - 74 Years,8563,7958,7668,7014,6096,5518,4734,3806,3721,3883,3815,3923,4064,3983,4035,3993,3944,3844,3677,3411,3367,3525,3689,3831,3841,3731,3622,3524,3371,3298,3159,3000,2762,2554,2279,2014,1859,1772,1749,1794,1760,1672,1527,1412,na,na,na,na,na,na,na,na,na,754,na,na,na,na,na,na,na,na,na,na,na,na,386
  75 - 79 Years,4416,3805,3002,2970,3116,3023,3110,3217,3126,3132,3049,3020,2918,2804,2571,2527,2490,2551,2610,2559,2309,2625,2513,2379,2254,2138,2019,1850,1766,1566,1384,1280,1204,1199,na,na,na,na,na,na,na,na,na,724,na,na,na,na,na,na,na,na,na,299,na,na,na,na,na,na,na,na,na,na,na,na,152
  80 - 84 Years,2100,2141,2199,2192,2166,2107,2031,1992,1906,1754,1678,1636,1674,1706,1688,1539,1476,1452,1421,1369,1323,1260,1103,1018,916,817,736,704,698,730,754,698,595,571,na,na,na,na,na,na,na,na,na,270,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,107
  85 - 89 Years,1157,1130,1115,1095,972,914,897,915,931,904,831,798,749,725,684,664,628,580,548,481,419,355,318,316,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  65 Years & Over,30993,28868,26829,25301,23564,21776,20330,19169,18102,17072,16095,15163,14103,13823,13759,13457,13380,13373,13148,12848,12390,12767,12496,12240,11736,11424,11205,11067,11004,10743,10321,9879,9358,8925,8502,8058,7532,6981,6587,6154,5697,5252,4973,4818,4800,4500,4200,4100,3800,3600,3400,3100,2900,2807,2300,2100,2300,1900,1900,1800,1700,1600,1500,1400,1400,1500,1329
  70 Years & Over,16716,15509,14470,13755,12834,12014,11198,10331,10056,10028,9715,9686,9685,9486,9220,8954,8724,8584,8404,7979,7577,7938,7759,7668,7476,7173,6833,6457,6199,5937,5638,5276,4826,4578,4260,3958,3648,3379,3278,3225,3100,2892,2681,2527,2400,2200,2000,2000,1900,1900,1800,1600,1500,1286,900,900,1100,700,800,800,800,800,900,800,800,800,743
  75 Years & Over,8153,7551,6802,6741,6738,6496,6464,6525,6335,6145,5900,5763,5621,5503,5185,4961,4780,4740,4727,4568,4210,4413,4070,3837,3635,3442,3211,2933,2828,2639,2479,2276,2064,2024,1981,1944,1789,1607,1529,1431,1340,1220,1154,1115,na,na,na,na,na,na,na,na,na,532,na,na,na,na,na,na,na,na,na,na,na,na,357
  80 Years & Over,3737,3746,3800,3771,3622,3473,3354,3308,3209,3013,2851,2743,2703,2699,2614,2434,2290,2189,2117,2009,1901,1788,1557,1458,1381,1304,1192,1083,1062,1073,1095,996,860,825,na,na,na,na,na,na,na,na,na,391,na,na,na,na,na,na,na,na,na,233,na,na,na,na,na,na,na,na,na,na,na,na,205
  85 Years & Over,1637,1605,1601,1579,1456,1366,1323,1316,1303,1259,1173,1107,1029,993,926,895,814,737,696,640,578,528,454,440,465,487,456,379,364,343,341,298,265,254,na,na,na,na,na,na,na,na,na,121,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,98
  90 Years & Over,480,475,486,484,484,452,426,401,372,355,342,309,280,268,242,231,186,157,148,159,159,173,136,124,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Total Female Malays,282314,278234,272709,274166,271850,269338,266798,264324,261815,259621,257661,255941,254410,252983,250936,248093,245583,243219,240316,237453,234194,233284,229818,226357,223176,219945,216241,212708,209109,205131,200944,196836,192556,188388,183920,180880,178056,175517,173052,170547,168287,165927,163661,161445,168000,166500,165100,163700,162300,160700,159000,157000,155000,146213,150400,147900,145400,141200,135600,130300,125200,121000,116800,111200,105500,99900,93810
  0 - 4 Years,19657,19691,19161,18820,18192,17545,16771,16096,15415,15030,14911,15120,15282,15707,15934,16173,16424,17015,17557,18377,18924,19799,20325,20795,21338,22110,22527,23121,23497,23870,23786,23557,22816,22139,21171,20271,19602,18949,18268,17143,16284,15273,14459,13907,14700,14800,15400,16000,16900,17100,18000,18900,20500,21372,24700,26600,27800,28000,27500,27000,26100,25200,24600,23800,23000,22400,21418
  5 - 9 Years,17829,16944,16163,15598,15231,15052,15279,15439,15784,15973,16291,16556,17147,17818,18699,19215,20033,20568,21058,21421,22150,22681,23265,23614,23979,23847,23486,22697,21971,21112,20214,19508,18887,18163,16996,16057,14983,14148,13591,13707,13980,14723,15597,16355,16800,17500,18100,19500,21100,23100,24600,25500,26000,25171,26200,25300,24400,23900,23100,22500,22300,21800,20900,19600,17900,16200,14684
  10 - 14 Years,15164,15275,15311,15817,16037,16321,16571,17146,17748,18606,19117,19967,20523,21067,21479,22213,22605,23225,23586,23995,23862,23460,22585,21772,20884,19973,19338,18734,18055,16965,16052,14934,14017,13324,13232,13478,14217,15062,15828,16074,16714,17257,18377,19742,22000,23500,24600,25100,25300,25300,24800,24600,23900,22390,22100,22000,21500,20600,19400,18000,16400,15400,14400,12800,11100,9700,8221
  15 - 19 Years,16479,16680,17145,17883,18746,19248,20063,20590,21080,21418,22165,22547,23170,23557,23958,23785,23415,22543,21770,20792,19862,19222,18588,17923,16847,15982,14906,14016,13317,13222,13369,14004,14710,15368,15576,16208,16737,17868,19241,20877,22212,23214,23554,23620,24700,24400,24000,23300,22600,21600,20900,19900,18900,17285,17700,16100,15300,14300,12600,11100,9900,8500,7400,7300,7900,8600,9047
